Anc	Der	PanelFreqA	PanelFreqB	Num
0	11	0.65	0.45	1
0	12	0.45	0.0	1
0	12	0.9	0.75	1
0	13	0.1	0.05	1
0	13	0.15	0.4	1
0	13	0.35	0.3	1
0	13	0.4	0.8	1
0	13	0.6	0.5	1
0	13	0.65	0.1	1
0	13	0.65	0.7	1
0	13	0.7	0.3	1
0	13	0.7	1.0	1
0	13	0.75	1.0	1
0	13	0.9	0.7	1
0	13	0.9	0.8	1
0	13	0.95	0.1	1
0	13	0.95	0.6	1
0	13	1.0	0.75	1
0	13	1.0	0.85	1
0	14	0.05	0.7	1
0	14	0.15	0.35	1
0	14	0.25	0.0	1
0	14	0.35	0.3	1
0	14	0.35	0.35	1
0	14	0.35	0.5	1
0	14	0.35	0.55	1
0	14	0.45	0.0	1
0	14	0.45	0.4	1
0	14	0.65	0.35	1
0	14	0.65	0.9	1
0	14	0.8	0.6	1
0	14	0.8	1.0	1
0	14	0.85	0.95	1
0	14	0.85	1.0	2
0	14	0.9	0.8	1
0	14	0.95	0.6	1
0	14	0.95	0.85	1
0	14	0.95	1.0	2
0	14	1.0	0.6	1
0	15	0.0	0.1	1
0	15	0.1	0.05	1
0	15	0.1	0.15	1
0	15	0.15	0.35	1
0	15	0.2	0.0	1
0	15	0.25	0.75	1
0	15	0.45	0.35	1
0	15	0.45	0.6	1
0	15	0.5	0.5	1
0	15	0.5	0.65	2
0	15	0.5	0.85	1
0	15	0.55	0.75	1
0	15	0.55	0.9	1
0	15	0.6	0.05	1
0	15	0.6	0.3	1
0	15	0.65	0.0	1
0	15	0.65	0.6	1
0	15	0.65	0.7	1
0	15	0.7	0.25	1
0	15	0.7	0.55	1
0	15	0.7	1.0	1
0	15	0.75	0.15	1
0	15	0.75	0.2	1
0	15	0.75	0.4	1
0	15	0.75	0.45	1
0	15	0.75	1.0	3
0	15	0.8	0.8	1
0	15	0.8	0.95	1
0	15	0.85	0.35	1
0	15	0.85	0.55	1
0	15	0.85	0.75	1
0	15	0.9	0.3	1
0	15	1.0	0.5	1
0	15	1.0	0.7	1
0	15	1.0	0.95	1
0	16	0.0	0.1	1
0	16	0.0	0.2	2
0	16	0.0	0.6	1
0	16	0.1	0.75	1
0	16	0.2	0.55	1
0	16	0.25	0.0	1
0	16	0.25	0.55	1
0	16	0.3	0.45	1
0	16	0.3	0.7	1
0	16	0.35	0.2	1
0	16	0.35	0.4	1
0	16	0.35	0.55	2
0	16	0.45	0.0	1
0	16	0.45	0.05	1
0	16	0.45	0.4	1
0	16	0.5	0.25	1
0	16	0.6	0.5	1
0	16	0.6	0.8	1
0	16	0.65	0.45	1
0	16	0.65	0.65	1
0	16	0.7	0.35	1
0	16	0.7	0.65	1
0	16	0.7	1.0	1
0	16	0.75	0.6	2
0	16	0.75	0.8	1
0	16	0.75	0.9	1
0	16	0.8	0.25	1
0	16	0.8	0.6	1
0	16	0.8	0.75	1
0	16	0.8	0.85	1
0	16	0.8	0.9	1
0	16	0.8	0.95	1
0	16	0.85	0.75	1
0	16	0.85	0.95	2
0	16	0.85	1.0	2
0	16	0.9	0.1	1
0	16	0.9	0.6	1
0	16	0.9	0.75	1
0	16	0.9	0.8	1
0	16	0.9	1.0	2
0	16	0.95	0.0	1
0	16	0.95	0.5	1
0	16	0.95	0.6	1
0	16	0.95	0.75	1
0	16	0.95	0.8	1
0	16	0.95	0.95	1
0	16	0.95	1.0	2
0	16	1.0	0.5	1
0	16	1.0	0.6	2
0	16	1.0	0.75	2
0	16	1.0	0.9	2
0	16	1.0	0.95	2
0	17	0.0	0.05	1
0	17	0.0	0.6	1
0	17	0.05	0.05	1
0	17	0.05	0.15	1
0	17	0.1	0.0	1
0	17	0.1	0.35	1
0	17	0.15	0.15	1
0	17	0.15	0.3	1
0	17	0.15	0.9	1
0	17	0.2	0.15	2
0	17	0.2	0.7	1
0	17	0.25	0.1	1
0	17	0.25	0.45	2
0	17	0.25	0.55	1
0	17	0.25	0.6	2
0	17	0.3	0.0	1
0	17	0.3	0.25	1
0	17	0.3	0.75	1
0	17	0.35	0.25	1
0	17	0.35	0.35	3
0	17	0.4	0.15	1
0	17	0.4	0.3	1
0	17	0.4	0.5	1
0	17	0.4	0.6	1
0	17	0.4	0.75	1
0	17	0.45	0.2	1
0	17	0.45	0.25	1
0	17	0.45	0.6	1
0	17	0.5	0.3	1
0	17	0.5	0.65	1
0	17	0.5	0.75	1
0	17	0.5	0.9	1
0	17	0.55	0.0	1
0	17	0.55	0.15	1
0	17	0.55	0.55	1
0	17	0.55	0.6	1
0	17	0.55	0.65	2
0	17	0.55	0.8	1
0	17	0.6	0.4	1
0	17	0.6	0.5	1
0	17	0.6	0.6	2
0	17	0.65	0.3	1
0	17	0.65	0.5	1
0	17	0.65	0.65	1
0	17	0.65	0.7	1
0	17	0.65	0.75	1
0	17	0.65	0.9	1
0	17	0.7	0.3	1
0	17	0.7	0.4	1
0	17	0.7	0.65	1
0	17	0.7	0.7	1
0	17	0.7	0.95	1
0	17	0.7	1.0	1
0	17	0.75	0.0	1
0	17	0.75	0.15	1
0	17	0.75	0.2	1
0	17	0.75	0.3	1
0	17	0.75	0.5	1
0	17	0.75	0.8	1
0	17	0.75	0.9	1
0	17	0.75	0.95	1
0	17	0.8	0.15	1
0	17	0.8	0.5	1
0	17	0.8	0.95	2
0	17	0.85	0.15	1
0	17	0.85	0.35	1
0	17	0.85	0.8	1
0	17	0.85	0.9	1
0	17	0.85	0.95	1
0	17	0.85	1.0	4
0	17	0.9	0.3	1
0	17	0.9	0.35	1
0	17	0.9	0.4	1
0	17	0.9	0.5	2
0	17	0.9	0.55	1
0	17	0.9	0.65	2
0	17	0.9	0.75	1
