Anc	Der	PanelFreqA	PanelFreqB	Num
0	10	0.9	0.6	1
0	12	0.65	0.35	1
0	13	0.65	0.5	1
0	13	0.8	1.0	1
0	13	0.85	0.7	1
0	13	0.95	0.25	1
0	14	0.65	0.65	1
0	14	0.7	0.75	1
0	14	0.75	0.2	1
0	14	0.75	0.95	1
0	14	0.85	1.0	1
0	14	0.9	1.0	1
0	15	0.2	0.45	1
0	15	0.2	0.9	1
0	15	0.25	0.5	1
0	15	0.4	0.05	1
0	15	0.55	0.75	1
0	15	0.75	0.3	1
0	15	0.85	0.75	1
0	15	0.9	0.45	1
0	15	1.0	0.9	1
0	15	1.0	0.95	1
0	16	0.05	0.0	1
0	16	0.1	0.0	1
0	16	0.25	0.0	1
0	16	0.45	0.2	1
0	16	0.45	0.25	1
0	16	0.6	0.4	1
0	16	0.7	0.3	1
0	16	0.7	0.6	1
0	16	0.75	0.65	1
0	16	0.8	0.7	1
0	16	0.8	0.75	1
0	16	0.8	0.85	1
0	16	0.8	0.95	1
0	16	0.8	1.0	1
0	16	0.85	1.0	1
0	16	0.9	0.5	1
0	16	0.95	0.65	1
0	16	0.95	1.0	1
0	16	1.0	0.8	1
0	16	1.0	0.9	1
0	16	1.0	0.95	2
0	17	0.25	0.05	1
0	17	0.45	0.55	1
0	17	0.55	0.55	1
0	17	0.55	0.75	1
0	17	0.6	0.5	1
0	17	0.65	0.05	1
0	17	0.65	0.3	1
0	17	0.65	0.8	1
0	17	0.7	0.5	1
0	17	0.7	0.6	1
0	17	0.75	0.25	1
0	17	0.75	0.4	1
0	17	0.75	0.5	1
0	17	0.75	1.0	1
0	17	0.8	0.65	1
0	17	0.8	0.75	1
0	17	0.85	0.6	1
0	17	0.85	1.0	4
0	17	0.9	0.6	1
0	17	0.9	0.7	1
0	17	0.9	0.8	2
0	17	0.9	0.9	1
0	17	0.95	0.85	1
0	17	0.95	0.95	1
0	17	0.95	1.0	5
0	17	1.0	0.55	1
0	17	1.0	0.85	3
0	17	1.0	0.9	1
0	17	1.0	0.95	4
0	18	0.05	0.0	1
0	18	0.1	0.0	1
0	18	0.25	0.0	1
0	18	0.5	0.45	1
0	18	0.5	0.65	1
0	18	0.55	0.8	1
0	18	0.6	0.7	1
0	18	0.65	0.25	1
0	18	0.65	0.35	2
0	18	0.65	0.45	1
0	18	0.65	0.55	1
0	18	0.65	0.75	1
0	18	0.65	1.0	1
0	18	0.7	0.5	2
0	18	0.7	0.6	1
0	18	0.7	0.9	1
0	18	0.75	0.3	1
0	18	0.75	0.35	1
0	18	0.75	0.7	1
0	18	0.75	1.0	1
0	18	0.8	0.55	2
0	18	0.8	0.7	1
0	18	0.8	0.75	1
0	18	0.8	0.9	1
0	18	0.8	0.95	1
0	18	0.8	1.0	2
0	18	0.85	0.3	1
0	18	0.85	0.7	1
0	18	0.85	0.85	1
0	18	0.85	0.9	1
0	18	0.9	0.45	1
0	18	0.9	0.7	1
0	18	0.9	0.8	1
0	18	0.9	1.0	4
0	18	0.95	0.3	1
0	18	0.95	0.45	1
0	18	0.95	0.6	1
0	18	0.95	0.75	1
0	18	0.95	0.85	1
0	18	0.95	0.95	1
0	18	0.95	1.0	6
0	18	1.0	0.55	3
0	18	1.0	0.6	1
0	18	1.0	0.65	1
0	18	1.0	0.7	1
0	18	1.0	0.75	1
0	18	1.0	0.85	2
0	18	1.0	0.9	4
0	18	1.0	0.95	4
0	19	0.2	0.0	1
0	19	0.3	0.5	1
0	19	0.3	0.8	1
0	19	0.4	0.2	1
0	19	0.4	0.25	1
0	19	0.45	0.25	1
0	19	0.45	0.5	1
0	19	0.45	0.75	1
0	19	0.45	0.9	1
0	19	0.5	0.0	1
0	19	0.55	0.6	1
0	19	0.55	0.8	1
0	19	0.65	0.2	1
0	19	0.65	0.3	1
0	19	0.65	0.55	1
0	19	0.65	0.8	1
0	19	0.7	0.5	1
0	19	0.7	0.8	1
0	19	0.7	1.0	1
0	19	0.75	0.25	2
0	19	0.75	0.3	1
0	19	0.75	0.5	1
0	19	0.75	0.55	1
0	19	0.75	0.75	1
0	19	0.75	0.9	1
0	19	0.75	0.95	1
0	19	0.75	1.0	2
0	19	0.8	0.4	1
0	19	0.8	0.6	1
0	19	0.8	0.65	1
0	19	0.8	0.75	1
0	19	0.8	0.9	2
0	19	0.8	0.95	1
0	19	0.8	1.0	3
0	19	0.85	0.3	1
0	19	0.85	0.45	1
0	19	0.85	0.55	1
0	19	0.85	0.6	2
0	19	0.85	0.65	1
0	19	0.85	0.85	1
0	19	0.85	0.95	2
0	19	0.85	1.0	2
0	19	0.9	0.45	1
0	19	0.9	0.5	1
0	19	0.9	0.55	1
0	19	0.9	0.8	1
0	19	0.9	0.9	2
0	19	0.9	0.95	4
