Anc	Der	PanelFreqA	PanelFreqB	Num
0	11	0.75	0.65	1
0	12	0.6	0.75	1
0	12	0.65	0.8	1
0	12	0.7	0.25	1
0	12	0.95	0.75	1
0	12	0.95	1.0	1
0	13	0.35	0.25	1
0	13	0.6	0.6	1
0	13	0.7	0.9	1
0	13	0.75	0.8	1
0	13	0.9	0.6	1
0	13	0.9	0.95	1
0	13	1.0	0.95	2
0	14	0.25	0.3	1
0	14	0.45	0.45	1
0	14	0.45	0.75	1
0	14	0.5	0.45	1
0	14	0.6	0.7	1
0	14	0.65	0.75	1
0	14	0.75	0.6	1
0	14	0.8	0.9	1
0	14	0.85	0.7	1
0	14	0.9	0.45	1
0	14	0.9	0.85	1
0	14	0.9	0.9	1
0	14	0.95	0.45	1
0	14	1.0	0.6	1
0	14	1.0	0.8	1
0	14	1.0	0.9	1
0	15	0.0	0.15	1
0	15	0.1	0.7	1
0	15	0.25	0.1	1
0	15	0.3	0.9	1
0	15	0.35	0.4	1
0	15	0.35	0.7	1
0	15	0.4	1.0	1
0	15	0.45	0.0	1
0	15	0.45	0.6	1
0	15	0.55	0.05	2
0	15	0.55	0.8	1
0	15	0.65	0.55	1
0	15	0.65	0.8	1
0	15	0.7	0.6	1
0	15	0.8	0.7	1
0	15	0.85	0.25	1
0	15	0.85	0.35	1
0	15	0.85	0.5	1
0	15	0.85	0.6	1
0	15	0.85	1.0	1
0	15	0.95	0.9	2
0	15	0.95	0.95	1
0	15	1.0	0.6	1
0	15	1.0	0.65	1
0	15	1.0	0.85	1
0	15	1.0	0.9	1
0	15	1.0	0.95	1
0	16	0.0	0.05	1
0	16	0.05	0.25	1
0	16	0.1	0.45	1
0	16	0.1	0.6	1
0	16	0.15	0.5	1
0	16	0.45	0.3	1
0	16	0.45	0.35	1
0	16	0.45	0.85	1
0	16	0.5	0.05	1
0	16	0.5	0.2	2
0	16	0.5	0.45	1
0	16	0.5	0.55	1
0	16	0.5	1.0	1
0	16	0.55	0.7	1
0	16	0.55	0.75	1
0	16	0.55	0.95	1
0	16	0.6	0.6	1
0	16	0.65	0.6	1
0	16	0.65	0.85	1
